Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP008000,Female,No,2,Not Graduate,Yes,9261.0,7901.0,115.0,360.0,1.0,Semiurban,N
LP008001,Female,Yes,0,Not Graduate,No,13434.0,5195.0,433.0,360.0,1.0,Urban,Y
LP008002,Male,Yes,1,Not Graduate,No,4376.0,1676.0,,360.0,1.0,Semiurban,Y
LP008003,Female,No,1,Not Graduate,No,8716.0,2535.0,451.0,360.0,1.0,Semiurban,Y
LP008004,Female,No,0,Not Graduate,No,6543.0,6572.0,252.0,360.0,1.0,Semiurban,Y
LP008005,Male,Yes,0,Graduate,No,3322.0,1470.0,605.0,,1.0,Urban,Y
LP008006,Female,Yes,0,Not Graduate,No,16675.0,4672.0,321.0,360.0,1.0,Urban,Y
LP008007,Male,No,3+,Not Graduate,No,16692.0,3798.0,563.0,360.0,1.0,Urban,N
LP008008,Female,No,0,Not Graduate,No,4492.0,1897.0,620.0,360.0,1.0,Semiurban,N
LP008009,Male,Yes,0,Not Graduate,No,,5350.0,295.0,180.0,1.0,Urban,Y
LP008010,Female,No,0,Graduate,No,14511.0,1492.0,529.0,180.0,1.0,Semiurban,N
LP008011,Male,,1,Not Graduate,No,2588.0,6491.0,425.0,360.0,0.0,Rural,N
LP008012,Female,No,1,Not Graduate,No,,7512.0,555.0,180.0,1.0,Urban,Y
LP008013,Male,No,3+,Graduate,No,17516.0,9603.0,225.0,360.0,0.0,Semiurban,N
LP008014,Female,Yes,2,Not Graduate,No,12111.0,3105.0,545.0,360.0,1.0,Semiurban,Y
LP008015,Female,No,0,Graduate,No,16375.0,7160.0,313.0,360.0,1.0,Rural,Y
LP008016,Male,No,0,Graduate,No,15405.0,9497.0,85.0,360.0,1.0,Semiurban,Y
LP008017,Female,No,2,Not Graduate,No,7096.0,4468.0,156.0,360.0,1.0,Rural,Y
LP008018,Male,Yes,3+,Not Graduate,Yes,19237.0,9013.0,74.0,360.0,1.0,Urban,N
LP008019,Female,Yes,0,Graduate,Yes,19940.0,6554.0,473.0,360.0,1.0,Rural,Y
LP008020,Female,Yes,0,Graduate,No,15997.0,1236.0,430.0,360.0,1.0,Semiurban,Y
LP008021,Female,Yes,2,Not Graduate,Yes,2927.0,3348.0,528.0,360.0,1.0,Urban,N
LP008022,Female,No,0,Not Graduate,No,16570.0,7733.0,670.0,360.0,1.0,Semiurban,N
LP008023,Male,No,0,Graduate,Yes,2142.0,4316.0,204.0,360.0,1.0,Semiurban,N
LP008024,Male,No,3+,Not Graduate,No,16476.0,9825.0,538.0,,0.0,Urban,N
LP008025,Male,No,2,Graduate,No,6460.0,4649.0,471.0,360.0,0.0,Semiurban,N
LP008026,Female,Yes,0,Not Graduate,No,18797.0,2808.0,514.0,360.0,1.0,Rural,Y
LP008027,Male,No,0,Not Graduate,No,5369.0,109.0,,360.0,1.0,Urban,Y
LP008028,Female,No,0,Graduate,No,7740.0,8135.0,471.0,360.0,1.0,Urban,N
LP008029,Female,No,3+,Graduate,No,17708.0,5841.0,681.0,360.0,1.0,Urban,N
LP008030,Male,No,,Not Graduate,No,16325.0,948.0,497.0,360.0,0.0,Urban,N
LP008031,Female,No,2,Graduate,No,14308.0,452.0,194.0,360.0,1.0,Urban,N
LP008032,Male,No,0,Not Graduate,No,10597.0,7922.0,384.0,360.0,1.0,Rural,Y
LP008033,Male,Yes,0,Not Graduate,No,2492.0,8298.0,673.0,360.0,1.0,Urban,Y
LP008034,Female,No,1,Graduate,No,6091.0,4.0,678.0,180.0,1.0,Semiurban,Y
LP008035,Male,No,0,Not Graduate,No,12062.0,5263.0,585.0,180.0,1.0,Rural,N
LP008036,Male,Yes,1,Not Graduate,Yes,10924.0,136.0,497.0,360.0,1.0,Semiurban,Y
LP008037,Female,No,1,Graduate,No,2826.0,8984.0,166.0,360.0,1.0,Rural,Y
LP008038,Male,No,0,Graduate,No,15619.0,3512.0,112.0,360.0,1.0,Rural,N
LP008039,Female,No,3+,Graduate,No,5512.0,9855.0,537.0,360.0,1.0,Urban,N
LP008040,Female,No,0,Not Graduate,No,13614.0,7232.0,199.0,360.0,1.0,Rural,N
LP008041,Male,No,1,Graduate,No,4220.0,8606.0,667.0,360.0,1.0,Semiurban,N
LP008042,Male,Yes,0,Not Graduate,No,19674.0,7968.0,230.0,360.0,1.0,Urban,Y
LP008043,Female,Yes,1,Graduate,Yes,18293.0,6523.0,379.0,360.0,1.0,Rural,Y
LP008044,Male,No,1,Not Graduate,No,19538.0,8388.0,317.0,360.0,1.0,Urban,Y
LP008045,Male,No,0,Not Graduate,No,7037.0,7971.0,505.0,360.0,1.0,Urban,Y
LP008046,Female,No,0,Graduate,No,6697.0,9711.0,153.0,360.0,1.0,Semiurban,N
LP008047,Male,Yes,0,Not Graduate,No,2569.0,8787.0,430.0,360.0,1.0,Rural,N
