Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP003000,Female,No,0,Not Graduate,No,6342.0,820.0,688.0,240.0,1.0,Urban,Y
LP003001,Female,Yes,0,Not Graduate,No,11828.0,9191.0,395.0,360.0,1.0,Semiurban,Y
LP003002,Male,No,0,Graduate,No,17435.0,,261.0,360.0,1.0,Semiurban,Y
LP003003,Female,Yes,0,Not Graduate,No,18776.0,5245.0,273.0,360.0,1.0,Semiurban,Y
LP003004,Female,Yes,1,Not Graduate,No,10940.0,1698.0,571.0,360.0,1.0,Urban,N
LP003005,Female,No,0,Not Graduate,No,3933.0,3042.0,129.0,360.0,1.0,Rural,N
LP003006,Female,No,0,Not Graduate,No,19074.0,3256.0,161.0,360.0,1.0,Urban,N
LP003007,Male,No,3+,Graduate,No,19621.0,7996.0,327.0,360.0,1.0,Semiurban,Y
LP003008,Female,Yes,0,Not Graduate,No,18220.0,2187.0,448.0,360.0,1.0,Urban,Y
LP003009,Male,Yes,3+,Graduate,No,1934.0,1778.0,561.0,360.0,1.0,Semiurban,N
LP003010,Female,No,,Graduate,No,19155.0,48.0,619.0,120.0,0.0,Urban,Y
LP003011,Male,No,0,Graduate,No,6082.0,1494.0,381.0,180.0,1.0,Rural,Y
LP003012,Male,No,0,Graduate,No,11523.0,9365.0,216.0,360.0,1.0,Rural,Y
LP003013,Male,Yes,2,Not Graduate,Yes,8343.0,6467.0,493.0,360.0,0.0,Rural,Y
LP003014,Female,No,0,Graduate,No,6689.0,9542.0,,240.0,1.0,Rural,Y
LP003015,Male,No,0,Graduate,No,3267.0,918.0,488.0,360.0,1.0,Semiurban,N
LP003016,Female,No,2,Not Graduate,No,14330.0,350.0,563.0,360.0,1.0,Semiurban,N
LP003017,Male,No,0,Not Graduate,No,2304.0,1926.0,456.0,360.0,1.0,Semiurban,Y
LP003018,Male,Yes,0,Not Graduate,Yes,11684.0,1917.0,431.0,360.0,1.0,Urban,N
LP003019,Female,No,1,Not Graduate,No,4680.0,5266.0,108.0,360.0,1.0,Urban,Y
LP003020,Male,No,1,Graduate,No,16444.0,9501.0,618.0,360.0,1.0,Rural,N
