Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000500,Female,Yes,0,Not Graduate,No,9727.0,3785.0,688.0,240.0,1.0,Semiurban,N
LP000501,Female,Yes,0,Graduate,Yes,14209.0,9187.0,174.0,360.0,0.0,Rural,N
LP000502,Male,No,0,Graduate,,12077.0,2949.0,151.0,360.0,0.0,Urban,Y
LP000503,Female,Yes,0,Graduate,No,19317.0,6984.0,427.0,360.0,1.0,Semiurban,Y
LP000504,Female,No,0,Not Graduate,No,17372.0,1665.0,,360.0,1.0,Semiurban,Y
LP000505,Male,Yes,1,Not Graduate,No,1580.0,6218.0,560.0,360.0,1.0,Urban,Y
LP000506,Female,Yes,1,Not Graduate,No,11194.0,2898.0,455.0,360.0,1.0,Semiurban,N
LP000507,Female,No,0,Not Graduate,Yes,14207.0,,626.0,240.0,1.0,Rural,Y
LP000508,Female,No,0,Graduate,No,11422.0,9523.0,277.0,360.0,1.0,Rural,Y
LP000509,Female,Yes,0,Graduate,Yes,3542.0,5836.0,638.0,360.0,1.0,Rural,N
LP000510,Female,Yes,0,Not Graduate,Yes,19171.0,2803.0,,360.0,1.0,Urban,Y
LP000511,Male,No,1,Graduate,No,13368.0,1245.0,676.0,360.0,1.0,Urban,N
LP000512,Female,Yes,,Graduate,No,5060.0,2325.0,557.0,360.0,1.0,Urban,N
LP000513,Female,Yes,1,Graduate,No,9293.0,7525.0,684.0,360.0,1.0,Rural,Y
LP000514,Male,No,1,Not Graduate,No,11574.0,8876.0,289.0,360.0,1.0,Rural,Y
LP000515,Male,Yes,0,Graduate,No,18165.0,2365.0,495.0,240.0,0.0,Semiurban,Y
LP000516,Male,No,0,Not Graduate,No,6210.0,3138.0,108.0,360.0,0.0,Urban,Y
LP000517,Female,No,3+,Graduate,No,14361.0,8334.0,675.0,240.0,1.0,Urban,Y
LP000518,,No,3+,Graduate,No,9273.0,8345.0,643.0,360.0,0.0,Semiurban,Y
LP000519,Male,No,0,Not Graduate,No,10108.0,7261.0,373.0,120.0,1.0,Semiurban,N
LP000520,Female,No,0,Not Graduate,No,18200.0,3268.0,58.0,360.0,1.0,Urban,Y
LP000521,Male,No,2,Graduate,No,12991.0,4473.0,564.0,180.0,0.0,Rural,Y
LP000522,Female,No,0,Not Graduate,No,2591.0,,505.0,120.0,1.0,Rural,N
LP000523,Female,Yes,2,Not Graduate,No,18560.0,7550.0,387.0,,,Urban,N
LP000524,Female,Yes,2,Graduate,No,2624.0,8185.0,374.0,120.0,1.0,Rural,N
LP000525,Male,No,0,Not Graduate,No,11982.0,8725.0,662.0,360.0,1.0,Urban,Y
LP000526,Male,No,3+,Not Graduate,No,2613.0,6780.0,167.0,360.0,1.0,Urban,N
LP000527,Male,Yes,3+,Not Graduate,No,3472.0,6969.0,502.0,360.0,1.0,Rural,N
LP000528,Male,No,3+,Not Graduate,No,12640.0,786.0,456.0,360.0,1.0,Rural,N
LP000529,Female,Yes,0,Not Graduate,No,9267.0,6305.0,641.0,360.0,1.0,Urban,Y
LP000530,Female,No,0,Not Graduate,No,6214.0,465.0,182.0,360.0,1.0,Urban,N
LP000531,,No,1,Graduate,No,9161.0,7565.0,534.0,360.0,1.0,Urban,Y
LP000532,,No,0,Not Graduate,No,8643.0,140.0,541.0,360.0,1.0,Urban,N
LP000533,Female,Yes,0,Not Graduate,Yes,10447.0,7802.0,600.0,360.0,1.0,Semiurban,N
LP000534,Female,No,0,Graduate,No,13460.0,1727.0,564.0,360.0,1.0,Semiurban,Y
LP000535,Female,Yes,1,Not Graduate,No,5336.0,1991.0,587.0,360.0,1.0,Urban,Y
LP000536,Female,Yes,0,Not Graduate,No,13664.0,9001.0,313.0,360.0,1.0,Urban,Y
LP000537,Male,Yes,0,Graduate,No,16088.0,9462.0,518.0,360.0,1.0,Rural,N
LP000538,Male,No,0,Graduate,Yes,8881.0,2881.0,101.0,360.0,1.0,Urban,Y
LP000539,Male,Yes,2,Not Graduate,No,2183.0,,439.0,360.0,1.0,Urban,Y
LP000540,Female,Yes,1,Not Graduate,No,3475.0,8361.0,204.0,180.0,1.0,Rural,N
LP000541,Female,No,0,Graduate,No,1803.0,2081.0,426.0,360.0,1.0,Rural,N
LP000542,Male,No,3+,Not Graduate,No,13689.0,9625.0,263.0,360.0,1.0,Urban,Y
LP000543,Female,No,0,Not Graduate,No,19836.0,9622.0,455.0,360.0,1.0,Rural,N
LP000544,Female,No,1,Graduate,No,9409.0,5155.0,535.0,360.0,1.0,Semiurban,N
LP000545,Male,Yes,2,Graduate,No,5504.0,264.0,617.0,360.0,1.0,Semiurban,Y
LP000546,Male,No,2,Graduate,No,10952.0,9044.0,535.0,360.0,1.0,Semiurban,N
LP000547,Female,No,0,Not Graduate,No,8897.0,7465.0,604.0,360.0,0.0,Semiurban,Y
LP000548,Female,Yes,3+,Graduate,No,18914.0,1763.0,76.0,360.0,1.0,Semiurban,Y
LP000549,Female,Yes,3+,Not Graduate,No,7326.0,7746.0,606.0,360.0,1.0,Semiurban,N
LP000550,Female,Yes,0,Graduate,No,10886.0,8198.0,351.0,360.0,1.0,Semiurban,N
LP000551,Female,Yes,0,Graduate,No,9219.0,9631.0,82.0,360.0,1.0,Rural,N
LP000552,Female,No,0,Not Graduate,No,13051.0,8204.0,176.0,360.0,1.0,Rural,Y
LP000553,Female,No,0,Graduate,No,17599.0,5879.0,539.0,360.0,1.0,Rural,Y
LP000554,Female,No,0,Not Graduate,No,9925.0,2767.0,656.0,360.0,1.0,Rural,Y
LP000555,Male,No,2,Not Graduate,No,12612.0,947.0,399.0,360.0,1.0,Rural,Y
LP000556,Male,Yes,0,Not Graduate,No,3218.0,3781.0,670.0,360.0,1.0,Semiurban,N
LP000557,Male,No,1,Not Graduate,Yes,1992.0,3346.0,130.0,360.0,1.0,Urban,Y
LP000558,Female,Yes,0,Not Graduate,No,12974.0,1810.0,596.0,360.0,1.0,Urban,N
LP000559,Female,No,0,Graduate,No,19898.0,9319.0,469.0,360.0,1.0,Rural,Y
LP000560,Female,Yes,0,Graduate,No,9529.0,7209.0,311.0,360.0,0.0,Urban,Y
LP000561,Male,No,0,Not Graduate,Yes,14016.0,2712.0,542.0,360.0,1.0,Urban,N
LP000562,Male,Yes,0,Not Graduate,No,10036.0,7458.0,235.0,360.0,1.0,Semiurban,N
LP000563,Male,Yes,2,Not Graduate,No,7386.0,6879.0,177.0,360.0,0.0,Semiurban,N
LP000564,Male,Yes,1,Not Graduate,Yes,15912.0,4535.0,319.0,360.0,1.0,Urban,N
LP000565,Female,No,1,Graduate,No,9956.0,3109.0,250.0,360.0,1.0,Semiurban,Y
LP000566,Male,No,1,Graduate,No,19556.0,4204.0,640.0,360.0,1.0,Semiurban,N
LP000567,Male,Yes,0,Graduate,No,10120.0,2477.0,279.0,360.0,1.0,Urban,N
LP000568,Female,No,0,Graduate,No,16280.0,9636.0,197.0,360.0,0.0,Semiurban,N
LP000569,Male,No,0,Graduate,No,10145.0,6489.0,540.0,360.0,1.0,Rural,Y
LP000570,Female,No,1,Graduate,No,16953.0,380.0,263.0,360.0,1.0,Rural,Y
LP000571,Female,No,0,Not Graduate,Yes,10113.0,9719.0,685.0,360.0,1.0,Urban,N
LP000572,Male,Yes,0,Graduate,Yes,8133.0,,191.0,360.0,1.0,Urban,Y
LP000573,Female,Yes,1,Graduate,No,14473.0,,587.0,360.0,1.0,Rural,Y
LP000574,Female,No,3+,Not Graduate,No,16983.0,5662.0,398.0,360.0,1.0,Semiurban,Y
LP000575,Female,No,1,Not Graduate,No,18465.0,3101.0,281.0,240.0,1.0,Urban,N
LP000576,Male,No,2,Not Graduate,No,4162.0,3649.0,492.0,360.0,1.0,Semiurban,N
LP000577,Female,No,1,Not Graduate,No,17466.0,2205.0,632.0,360.0,1.0,Semiurban,N
LP000578,Female,Yes,0,Not Graduate,No,5758.0,3439.0,,360.0,1.0,Urban,N
LP000579,Male,No,1,Graduate,No,8423.0,1382.0,250.0,360.0,1.0,Rural,N
LP000580,Male,Yes,2,Not Graduate,No,12058.0,8814.0,317.0,360.0,1.0,Rural,Y
LP000581,,,0,Not Graduate,No,2824.0,2771.0,52.0,360.0,1.0,Rural,N
LP000582,Female,Yes,0,Not Graduate,No,15669.0,5522.0,402.0,360.0,1.0,Rural,N
LP000583,Male,No,0,Graduate,No,1600.0,6792.0,192.0,360.0,1.0,Rural,Y
LP000584,Female,No,0,Not Graduate,No,18299.0,8021.0,186.0,360.0,1.0,Rural,N
LP000585,Male,Yes,2,Not Graduate,No,11075.0,133.0,98.0,360.0,0.0,Semiurban,N
LP000586,Male,Yes,0,Graduate,No,14942.0,4796.0,221.0,120.0,1.0,Rural,Y
LP000587,Male,No,0,Not Graduate,No,16730.0,5796.0,642.0,360.0,1.0,Urban,Y
LP000588,Male,No,2,Graduate,No,2543.0,9467.0,205.0,360.0,0.0,Urban,Y
LP000589,Male,Yes,0,Graduate,No,19630.0,6086.0,70.0,360.0,1.0,Rural,N
LP000590,Male,No,0,Not Graduate,No,16127.0,6291.0,99.0,360.0,0.0,Rural,N
LP000591,Female,No,2,Graduate,No,5943.0,8699.0,224.0,180.0,1.0,Urban,N
LP000592,Male,Yes,0,Not Graduate,No,10980.0,,675.0,360.0,1.0,Urban,Y
LP000593,Male,Yes,1,Not Graduate,No,5670.0,,310.0,360.0,1.0,Urban,Y
LP000594,Female,No,0,Not Graduate,No,5648.0,2238.0,471.0,360.0,1.0,Rural,N
LP000595,Male,No,0,Graduate,No,1537.0,6076.0,388.0,360.0,1.0,Urban,N
LP000596,Female,No,0,Graduate,No,10457.0,405.0,538.0,360.0,1.0,Rural,N
LP000597,Male,No,0,Graduate,No,13569.0,4183.0,465.0,360.0,1.0,Rural,N
LP000598,Male,Yes,3+,Graduate,No,12156.0,4702.0,489.0,360.0,0.0,Rural,N
LP000599,Male,Yes,3+,Graduate,No,6306.0,5552.0,,360.0,1.0,Rural,Y
LP000600,Male,Yes,2,Not Graduate,Yes,6343.0,4369.0,476.0,360.0,1.0,Urban,N
LP000601,Male,Yes,0,Not Graduate,No,15280.0,8252.0,628.0,240.0,1.0,Semiurban,Y
LP000602,Male,No,3+,Not Graduate,No,1615.0,8273.0,664.0,360.0,1.0,Semiurban,Y
LP000603,Male,No,1,Graduate,No,18162.0,3779.0,612.0,360.0,1.0,Semiurban,Y
LP000604,Male,Yes,0,Graduate,No,18337.0,,292.0,,1.0,Urban,N
LP000605,Male,Yes,1,Graduate,No,14860.0,5440.0,230.0,360.0,1.0,Urban,N
LP000606,Male,No,0,Not Graduate,No,18184.0,7719.0,399.0,360.0,1.0,Rural,Y
LP000607,Male,No,0,Not Graduate,No,10408.0,3110.0,97.0,360.0,1.0,Semiurban,Y
LP000608,Female,No,2,Graduate,No,7542.0,4994.0,281.0,360.0,1.0,Urban,N
LP000609,Female,No,1,Not Graduate,No,6566.0,8299.0,655.0,360.0,1.0,Rural,N
LP000610,Male,No,0,Graduate,No,1694.0,7906.0,442.0,360.0,1.0,Rural,N
LP000611,Female,No,0,Not Graduate,No,2828.0,3334.0,304.0,360.0,1.0,Rural,N
LP000612,Female,Yes,3+,Graduate,No,7893.0,1021.0,135.0,,1.0,Rural,N
LP000613,Male,Yes,1,Graduate,No,8633.0,1880.0,144.0,360.0,1.0,Rural,N
LP000614,Female,Yes,0,Not Graduate,No,15261.0,3006.0,95.0,360.0,1.0,Rural,N
LP000615,Female,No,0,Not Graduate,No,15682.0,6477.0,85.0,360.0,1.0,Urban,N
LP000616,Male,No,0,Graduate,No,15894.0,1215.0,59.0,360.0,1.0,Rural,N
LP000617,Male,No,3+,Not Graduate,No,15383.0,320.0,293.0,360.0,1.0,Urban,Y
LP000618,Female,Yes,0,Not Graduate,No,19441.0,1051.0,76.0,360.0,1.0,Urban,N
LP000619,Female,Yes,0,Not Graduate,Yes,4624.0,3385.0,640.0,360.0,0.0,Semiurban,Y
LP000620,Male,Yes,0,Graduate,No,6382.0,6161.0,452.0,360.0,1.0,Semiurban,Y
LP000621,Male,Yes,2,Not Graduate,No,10220.0,3181.0,81.0,360.0,0.0,Rural,N
LP000622,Male,No,1,Not Graduate,No,10189.0,4728.0,95.0,360.0,1.0,Rural,N
LP000623,Male,No,1,Not Graduate,Yes,8282.0,6955.0,621.0,360.0,1.0,Semiurban,Y
LP000624,Female,No,0,Not Graduate,No,16856.0,7716.0,512.0,360.0,1.0,Rural,N
LP000625,Male,No,0,Graduate,No,7798.0,1538.0,,360.0,1.0,Urban,N
LP000626,Male,No,3+,Graduate,Yes,8646.0,6413.0,66.0,360.0,1.0,Urban,N
LP000627,Female,No,3+,Graduate,No,3310.0,6278.0,626.0,360.0,1.0,Rural,Y
LP000628,Male,Yes,3+,Not Graduate,No,9414.0,2448.0,234.0,360.0,1.0,Semiurban,N
LP000629,Male,No,3+,Graduate,No,8841.0,1518.0,566.0,360.0,1.0,Rural,Y
LP000630,Female,No,2,Not Graduate,No,1819.0,5202.0,643.0,360.0,1.0,Semiurban,N
LP000631,Female,No,1,Graduate,No,16891.0,1742.0,104.0,360.0,0.0,Urban,Y
LP000632,Female,Yes,2,Graduate,No,17808.0,9894.0,411.0,360.0,0.0,Semiurban,Y
LP000633,Female,Yes,1,Not Graduate,No,12261.0,4174.0,538.0,360.0,1.0,Semiurban,Y
LP000634,Male,Yes,0,Not Graduate,No,4886.0,1331.0,53.0,360.0,1.0,Rural,Y
LP000635,Male,No,0,Not Graduate,No,4838.0,9241.0,229.0,360.0,1.0,Semiurban,Y
LP000636,Female,Yes,3+,Graduate,No,8234.0,2214.0,68.0,360.0,1.0,Semiurban,Y
LP000637,Male,No,0,Not Graduate,Yes,12411.0,8876.0,180.0,360.0,1.0,Urban,N
LP000638,Male,No,2,Not Graduate,No,2369.0,9758.0,547.0,120.0,1.0,Semiurban,Y
LP000639,Male,Yes,0,Not Graduate,No,,460.0,628.0,360.0,0.0,Rural,N
LP000640,Male,No,0,Graduate,No,8284.0,9255.0,334.0,360.0,0.0,Urban,N
LP000641,Male,No,0,Not Graduate,No,8542.0,3940.0,230.0,360.0,1.0,Semiurban,Y
LP000642,Male,Yes,0,Graduate,No,7929.0,3664.0,697.0,180.0,1.0,Semiurban,Y
LP000643,Male,No,0,Graduate,No,2185.0,2221.0,425.0,360.0,1.0,Urban,Y
LP000644,Male,Yes,0,Not Graduate,No,17257.0,6730.0,694.0,240.0,1.0,Semiurban,N
LP000645,Female,Yes,2,Not Graduate,No,6527.0,6697.0,113.0,360.0,1.0,Urban,N
LP000646,Female,No,0,Not Graduate,No,15497.0,3168.0,528.0,360.0,1.0,Urban,Y
LP000647,Female,No,0,Not Graduate,No,19858.0,8358.0,588.0,360.0,0.0,Rural,Y
LP000648,Female,,0,Graduate,Yes,14719.0,6341.0,,360.0,1.0,Semiurban,N
LP000649,Female,No,1,Not Graduate,No,11076.0,7782.0,367.0,360.0,1.0,Urban,N
LP000650,Male,No,1,Not Graduate,No,19201.0,6583.0,521.0,360.0,1.0,Urban,N
LP000651,Female,No,1,Graduate,No,6964.0,558.0,319.0,360.0,1.0,Rural,N
LP000652,Female,No,0,Graduate,No,6615.0,3749.0,522.0,360.0,1.0,Rural,N
LP000653,Female,No,0,Not Graduate,No,18450.0,1553.0,593.0,,1.0,Rural,Y
LP000654,Male,Yes,1,Not Graduate,No,11157.0,4609.0,,360.0,1.0,Urban,N
LP000655,Male,No,2,Not Graduate,No,13894.0,7784.0,97.0,360.0,1.0,Urban,Y
LP000656,Male,Yes,0,Not Graduate,No,15124.0,5221.0,396.0,360.0,1.0,Rural,Y
LP000657,Male,No,0,Not Graduate,No,3965.0,5301.0,,360.0,1.0,Rural,N
LP000658,Female,Yes,0,Graduate,Yes,5848.0,2461.0,343.0,360.0,1.0,Rural,N
LP000659,Female,No,0,Graduate,No,5426.0,2538.0,82.0,360.0,1.0,Rural,Y
LP000660,Male,Yes,1,Graduate,No,13205.0,7383.0,412.0,360.0,0.0,Urban,Y
LP000661,,Yes,0,Not Graduate,No,16312.0,5891.0,538.0,360.0,1.0,Rural,Y
